suburb,state,lat,lng
Aarons Pass,NSW,-32.86561,149.81293
Abba River,WA,-33.68048,115.50333
Abbey,WA,-33.66125,115.25941
Abbeyard,VIC,-37.02132,146.76407
Abbeywood,QLD,-26.11038,151.63207
Abbotsbury,NSW,-33.875,150.862
Abbotsford,NSW,-33.85215,151.12726
Abbotsford,QLD,-24.83101,152.01053
Abbotsford,VIC,-37.80236,144.99836
Abbotsham,TAS,-41.21468,146.18643
Abeckett Street,VIC,-37.8097,144.95931
Abels Bay,TAS,-43.22881,147.10539
Abercorn,QLD,-25.14302,151.13809
Abercrombie,NSW,-33.39,149.565
Abercrombie River,NSW,-34.02985,149.49374
Aberdare,NSW,-32.84329,151.37644
Aberdeen,NSW,-32.16773,150.87329
Aberdeen,TAS,-41.24432,146.32645
Aberfeldie,VIC,-37.762,144.901
Aberfeldy,VIC,-37.7206,146.38859
Aberfoyle,NSW,-30.23279,152.00555
Aberfoyle Park,SA,-35.067,138.6
Aberglasslyn,NSW,-32.69466,151.53461
Abergowrie,QLD,-18.44081,145.92927
Abermain,NSW,-32.81667,151.43333
Abernethy,NSW,-32.87722,151.39639
Abingdon Downs,QLD,-17.86115,143.21514
Abington,NSW,-30.3552,151.19126
Abington,QLD,-25.21243,152.36238
Abminga Station,SA,-32.2165,140.317
Acacia Creek,NSW,-28.37602,152.31545
Acacia Gardens,NSW,-33.7322,150.917
Acacia Hills,NT,-12.75415,131.14894
Acacia Hills,TAS,-41.28541,146.34234
Acacia Park,NSW,-30.538,151.679
Acacia Plateau,NSW,-28.34932,152.39972
Acacia Ridge,QLD,-27.58333,153.03333
Acacia Ridge Bc,QLD,-27.5833,153.033
Acacia Ridge Dc,QLD,-27.59,153.028
Acheron,VIC,-37.27296,145.70406
Acland,QLD,-27.31216,151.65928
Acton,ACT,-35.27944,149.11944
Acton,TAS,-41.07007,145.89399
Acton Park,TAS,-42.86583,147.46972
Acton Park,WA,-33.76278,115.36395
Ada,VIC,-37.84222,145.85186
Adaminaby,NSW,-35.99611,148.77389
Adams Estate,VIC,-38.42567,145.53235
Adamstown,NSW,-32.93435,151.72584
Adamstown Heights,NSW,-32.94771,151.71518
Adamsvale,WA,-32.19986,117.67261
Adare,QLD,-27.51127,152.30372
Adavale,QLD,-26.58881,145.01757
Addington,VIC,-37.38333,143.68333
Adelaide,SA,-34.93283,138.60381
Adelaide Airport,SA,-34.9454,138.52372
Adelaide Bc,SA,-34.9304,138.589
Adelaide Lead,VIC,-37.08382,143.67912
Adelaide Park,QLD,-23.09433,150.69239
Adelaide River,NT,-13.17483,131.14013
Adelaide University,SA,-34.9206,138.60623
Adelong,NSW,-35.31111,148.06582
Adjungbilly,NSW,-35.05184,148.44017
Advancetown,QLD,-28.03158,153.27675
Adventure Bay,TAS,-43.36667,147.33333
Aeroglen,QLD,-16.88468,145.74656
Afterlee,NSW,-28.58167,152.81778
Agery,SA,-34.15096,137.66774
Agnes,VIC,-38.65778,146.38195
Agnes Banks,NSW,-33.61529,150.71616
Agnes Water,QLD,-24.2125,151.90333
