Builder,Title,Type,Size (bytes),Local File,Source URL,Downloaded,Building Details (extracted)
101 Residential,Download Brochure,brochure,1867755,D:\Coleen\app\assets\101_residential\The-Elysium-Brochure.pdf,https://www.101residential.com.au/wp-content/uploads/2025/07/The-Elysium-Brochure.pdf,2026-07-23 12:14:44,"The ELYSIUM PLATINUM + DISPLAY 18 Sicilia Place, Balcatta 4 BED | 2 BATH | 2 GARAGE | 10M BLOCK define character Where curves The Elysium, where unique features offer a The striking void above the kitchen draws the eye bold new take on modern living. to the first-floor lounge, adding impressive height while flooding the space with natural light and The heart of the home is its beautifully creating a stunning sense of openness. designed kitchen with a spacious scullery and ample storage, seamlessly flowing into the open-plan dining and family areas. Large stacker doors open to the outdoor living space, creating a connected, light-filled area. The upper level is home to a lavish master suite, complete with an elegant ensuite featuring a freestanding bath and stylish tiled dressing room. Nearby, a cosy lounge and A standout in the family room is the eye- uniquely curved office space create a quiet catching Laminex architectural feature panel sanctuary, perfect for relaxation and focus. wall, bringing unique character and style to the space. Exclusive to The Elysium, this innovative design is the first of its kind in Western Australia. The ELYSIUM 4 BED | 2 BATH | 2 GARAGE | 10M BLOCK House -Ground 159.410m2 House - Upper 90.623m2 Garage/Store 37.125m2 Porch 4.275m2 Total 291.433m2 The One Specification Standard GENERAL INCLUSIONS DOOR AND WINDOW ENSUITE, BATHROOM, TOILET & LAUNDRY • Housing Industry Australia (HIA) fixed • Feature aluminium 920mm or 1200mm (w) 27c • 20mm stone bench tops from builder’s range pricecontract hinged entry door with clear or translucent glass as per • Hob-less showers throughout • Full working drawings and addenda for local plan • ABS edging and soft closers to cupboards from authority submissions • Front entry door handle to suit aluminium door builder’s Formica Velour range • Full builder’s indemnity insurance • Garage entry door furniture from builders range • Drawer and cupboard handles from builder’s range • Site contour survey • Lever handles to all internal doors from builder’s • Frameless mirrors to full width of vanity cupboards range • Choice of feature inset vanity basins from builder’s • Independent structural inspection to all • Privacy latches to ensuite, bathroom and WC range upperfloor frames (double storey designs) (where applicable) • Feature tapware from builder’s range in black, • Structural site report and engineer certified • Painted 25c regal metal door frames throughout chrome or brushed nickel (Laundry tap in chrome only) working drawings • Painted 25c flush panel internal doors from • Choice of feature close coupled wall faced china • Council approved energy efficiency report builder’s range toilet suite with soft closing seat from builder’s range • Shire building permit fees and standard Water • Choice of mirror or vinyl doors to all sliding robes and • Clear glass semi-frameless pivot doors to showers* Corporation fees sliding linen cupboards • 2000mm high tiling to showers (from builder’s • Allowance for sewer run in (10m past last • Powder coated aluminium window frames and standard range at $44/m2 PC) connection point) sliding doors with raised heights (27c) to ground floor • Choice of feature 1525mm or 1690mm bath to • Allowance for water run in (6m past last • Flyscreens to all awning and sliding windows and bathroom from builder’s range fixture) sliding doors • Stainless steel inset trough and cupboard to laundry • Gas allowance to meter box for ATCO run in • Keyed vent locks to all sliding windows from builder’s range and connection • Obscured glazing to bathrooms, ensuite, WC and • Square chrome floor wastes, where applicable • • 25 degree roof pitch* powder room (where applicable) Ceramic floor tiles up to 300x300mm with wall tiles • COLORBOND® custom orb steel roof, gutters, upto 200 x 600mm to builder’s range (builder’s range fascia and downpipes KITCHEN (INCLUDES SCULLERY WHERE $44/m2 PC) • H2 treated pine roof (Blue Pine) APPLICABLE) • Feature towel rail, toilet roll holder and towel ring • 30c ceiling height to ground floor including • 20mm stone bench top from builders range (where applicable) from builder’s range alfresco and 27c ceiling height • 300mm overhang to breakfast bar* ELYSIUM DISPLAY SPECIFIC INCLUSIONS to garage*^ • ABS edging and soft closers to drawers and • 30c ceiling height to upper floor • Porch ceiling height as per plan cupboards from builder’s Formica velour range • 30c ceiling height to garage • 28c ceiling height to upper floor • Drawer and cupboard handles from builder’s range • Plasterboard ceilings internally, with square set finish including balcony • Feature overmount stainless steel sink with to living areas and 75mm Trio cornice to all other areas • Plasterboard ceiling internally with 75 mm feature chrome mixer tapware • Plasterboard ceiling to garage with 75mm Trio cove, aria or symphony cornice • 2x 600mm Smeg fan-forced under bench electric cornice • Plasterboard ceiling to garage, porch, portico • Painted 25c modular metal door frames with 25c and alfresco with 75mm coved cornice*^ ovens or Deco 11S internal doors throughout • White set hard wall plaster to ground floor • 1x 900mm Smeg fan-forced under bench electric • Custom sectional garage door with remote controls • Metal corner beads to trafficable walls oven • Void over kitchen • R4 insulation to ceiling throughout • 900mm Smeg 5 burner gas cooktop • Upgraded feature kitchen, including: • Full perimeter termite treatment • 900mm Smeg canopy flumed rangehood Feature laminate • Double brick construction to ground floor Pot drawers • Bank of 4 cutlery drawers (450mm) • 2 course face brick, with rolled cream mortar Open shelves joints from builder’s range to ground floor • 700mm high tiled splash back to behind hotplate Built-in microwave • Feature elevation as per plan with 200mm high splash back to remainder (from Undermount sink • Acrylic render to ground floor front elevation builder’s standard range at $44/m2 PC) Laminated pant"
101 Residential,Download Floorplan,floorplan,292726,D:\Coleen\app\assets\101_residential\Elysium-Digital-Floorplan.pdf,https://www.101residential.com.au/wp-content/uploads/2025/07/Elysium-Digital-Floorplan.pdf,2026-07-23 12:14:38,"ELYSIUM THE Property Features 4 2 2 10m House - Ground 159.410m2 House -Upper 90.623m2 Garage 37.125m2 Porch 4.275m2 Total 291.433m2 Your first choice Disclaimer: Please note floorpan and photos are for illustrative purposes only. BC13521 m032,03 8,890m 101residential.com.au"
101 Residential,View full terms and conditions,brochure,131939,D:\Coleen\app\assets\101_residential\202405-Construction-Timeframe-Guarantee-Narrows.pdf,https://www.101residential.com.au/wp-content/uploads/2025/07/202405-Construction-Timeframe-Guarantee-Narrows.pdf,2026-07-23 12:14:35,"Construction Timeframe Guarantee Terms and Conditions 1. 101 Residential hereby guarantees the construction timeframe on standard plans as follows; a. Narrows Homes 35 weeks from slab to PCI b. Narrows Homes with turnkey inclusions, 39 weeks from slab to PCI 2. Valid for homes signed up from 1 June 2024. 3. Timeframe is calculated from the date that the ground floor slab is poured to practical completion. 4. Any delay past this time guarantee will result in a credit to the customer by way of variation at key handover at a rate of $400 per calendar week. 5. Delays outside of our control will not contribute to the calculated timeframe. Ie; natural disasters, Government mandated shutdowns, disease, vandalism, theft, war, holiday shutdown, extended periods of bad weather, industry wide transport, labour and material supply interruptions. 6. This guarantee is conditional upon all progress payments being completed within 10 working days of invoice issue. 7. This guarantee is conditional upon all other site related timeframes being met by customers such as site access/fence removal/power dome/owner nominated trades etc. 8. The agreed penalty fee is payable for a maximum of 12 weeks. Client Signature: Date: / / Client Signature: Date: / / Builder’s Signature: Date: / /"
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,276542,D:\Coleen\app\assets\celebration_homes\Amery-280-Brochure-Kitchen-Alternative.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Amery-280-Brochure-Kitchen-Alternative.pdf,2026-07-23 12:19:04,Amery 280 Living Area 225.49m² Garage 36.02m² Alfresco 15.20m² KITCHEN ALTERNATIVE Porch 1.82m² Total Area 278.53 m² 4 2 2 Min. Lot Width 17m lia + r s BED 4 GAMES 4.0 x 3.0 4.7 x 4.3 s + rail ALFRESCO BED 3 4.0 x 3.8 4.0 x 2.9 DINING 4.7 x 3.5 BATH LIVING 5.7 x 5.1 BED 2 4.0 x 3.0 KITCHEN lia + r s L'DRY N E SCULLERY N ENS IL LINEN C MH 660 x 560 s + rail WIR DOUBLE GARAGE ENTRY THEATRE 4.2 x 3.4 PRIMARY BED 3.7 x 3.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,280448,D:\Coleen\app\assets\celebration_homes\Amery-280-Brochure-Guest-Option.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Amery-280-Brochure-Guest-Option.pdf,2026-07-23 12:19:00,Amery 280 Living Area 225.49m² Garage 36.02m² Alfresco 15.20m² GUEST SUITE OPTION Porch 1.82m² Total Area 278.53 m² 5 3 2 Min. Lot Width 17 m lia ENS + s r BED 4 GUEST SUITE 4.0 x 3.0 4.3 x 3.1 s + rail s + rail ALFRESCO BED 3 4.0 x 3.8 4.0 x 2.9 DINING 4.7 x 3.5 BATH LIVING 5.7 x 5.1 BED 2 4.0 x 3.0 KITCHEN lia + r s L'DRY SCULLERY ENS LINEN C MH 660 x 560 s + rail WIR DOUBLE GARAGE ENTRY THEATRE 4.2 x 3.4 PRIMARY BED 3.7 x 3.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,276336,D:\Coleen\app\assets\celebration_homes\Amery-280-Brochure-Ensuite-Alternative.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Amery-280-Brochure-Ensuite-Alternative.pdf,2026-07-23 12:18:56,Amery 280 Living Area 225.49m² Garage 36.02m² Alfresco 15.20m² ENSUITE ALTERNATIVE Porch 1.82m² Total Area 278.53 m² 4 2 2 Min. Lot Width 17 m lia + r s BED 4 GAMES 4.0 x 3.0 4.7 x 4.3 s + rail ALFRESCO BED 3 4.0 x 3.8 4.0 x 2.9 DINING 4.7 x 3.5 BATH LIVING 5.7 x 5.1 BED 2 4.0 x 3.0 KITCHEN lia + r s L'DRY SCULLERY ENS LINEN C MH 660 x 560 s + rail WIR DOUBLE GARAGE ENTRY THEATRE 4.2 x 3.4 PRIMARY BED 3.7 x 3.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,275508,D:\Coleen\app\assets\celebration_homes\Amery-280-Brochure-5-Bed-Option.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Amery-280-Brochure-5-Bed-Option.pdf,2026-07-23 12:18:51,Amery 280 Living Area 225.49m² Garage 36.02m² Alfresco 15.20m² 5 BED OPTION Porch 1.82m² Total Area 278.53 m² 5 2 2 Min. Lot Width 17 m lia + s r WIR BED 4 BED 5 s + rail 4.0 x 3.0 4.3 x 3.0 WIR s + rail ALFRESCO BED 3 4.0 x 3.8 4.0 x 2.9 DINING 4.7 x 3.5 BATH LIVING 5.7 x 5.1 BED 2 4.0 x 3.0 KITCHEN lia + r s L'DRY SCULLERY ENS LINEN C MH 660 x 560 s + rail WIR DOUBLE GARAGE ENTRY THEATRE 4.2 x 3.4 PRIMARY BED 3.7 x 3.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Download Brochure,brochure,412121,D:\Coleen\app\assets\celebration_homes\Amery-280-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/02/Amery-280-Brochure.pdf,2026-07-23 12:18:47,BED 4 4.0 x 3.0 GAMES 4.7 x 4.3 ALFRESCO BED 3 4.0 x 3.8 4.0 x 2.9 DINING 4.7 x 3.5 BATH LIVING 5.7 x 5.1 BED 2 4.0 x 3.0 KITCHEN L'DRY SCULLERY ENS linen C MH 660 x 560 WIR DOUBLE GARAGE ENTRY THEATRE 4.2 x 3.4 PRIMARY BED 3.7 x 3.6 PORCH liar + s liar + s s + rail s + rail
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,266641,D:\Coleen\app\assets\celebration_homes\Karridale-215-Brochure-Scullery-Option-1.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Karridale-215-Brochure-Scullery-Option-1.pdf,2026-07-23 12:18:38,Karridale 215 Living Area 163.46m² Garage 34.57m² Alfresco 15.20m² SCULLERY OPTION Porch 2.47m² Total Area 215.70 m² 3 2 2 Min. Lot Width 15 m WC BATH li a + r BED 3 s 3.6 x 2.9 s + rail BED 2 3.8 x 2.9 LIVING 7.3 x 4.7 OVERALL ALFRESCO KITCHEN DINING 4.0 x 3.8 SCULLERY L'DRY WIL THEATRE 4.2 x 3.6 C MH 660 x 560 s + rail WIR DOUBLE GARAGE ENS ENTRY PRIMARY BED WC 3.8 x 3.7 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,271220,D:\Coleen\app\assets\celebration_homes\Karridale-215-Brochure-Guest-Option.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Karridale-215-Brochure-Guest-Option.pdf,2026-07-23 12:18:35,Karridale 215 Living Area 163.46m² Garage 34.57m² Alfresco 15.20m² GUEST SUITE OPTION Porch 2.47m² Total Area 215.70 m² 4 3 2 Min. Lot Width 15 m WC BATH li a + r BED 3 s 3.6 x 2.9 s + rail BED 2 3.8 x 2.9 LIVING KITCHEN 7.3 x 4.7 OVERALL ALFRESCO DINING 4.0 x 3.8 PANTRY LINEN L'DRY GUEST SUITE 3.7 x 3.6 C ENS MH 660 x 560 s + rail s + rail WIR DOUBLE GARAGE ENS ENTRY PRIMARY BED WC 3.8 x 3.7 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
