Builder,Lot / Address,Suburb,State,Package Price,Land Price,Build Price,Beds,Baths,Cars,Land m2,House m2,Title / Registration,Source,Confidence,Date Checked,Source URL
,Available 25/03/2026 Denman - Highfields Estate 105 Almond Street Denman 2328 MUSWELLBROOK NSW December 2025 8,MUSWELLBROOK,NSW,271000.0,,,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_a4fe844240584d81838d66ba9d2acb66.xlsx?dn=NSW%20Dual%20Jul.xlsx
,On hold 10/03/2026 Denman - Highfields Estate 321 Almond Street Denman 2328 MUSWELLBROOK NSW May 2026 870 20 $,MUSWELLBROOK,NSW,275000.0,,,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_a4fe844240584d81838d66ba9d2acb66.xlsx?dn=NSW%20Dual%20Jul.xlsx
,"CC-0111 400 m2 Oct-26 240 m2 5 + 5 + 2 CONCORD SINGLE $1,500 $78,000 7.78% Download $ 484,000 $ 518,800 $ 1 ,0","Orbifolia Circuit, Clyde North Clyde North VIC",,518800.0,78000.0,484000.0,,,,400.0,240.0,,E-Agent,0.86,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ae6934a723604ee581c49b7efc3a3cbb.pdf
,Available 01/04/2026 Mt View Grange - Bellbird 1335 Wildflower Circuit Bellbird 2325 CESSNOCK NSW January 2027,CESSNOCK,NSW,528000.0,,,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_a4fe844240584d81838d66ba9d2acb66.xlsx?dn=NSW%20Dual%20Jul.xlsx
,"Lot 623 Uptown Estate 179 116.9 8.5 Dec-26 Dartmouth 117 3x2x1 $179,000 $352,033 $531,033 Hold",Shepparton,,531033.0,179000.0,352033.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"Lot 624 Uptown Estate 179 116.9 8.5 Dec-26 Dartmouth 117 3x2x1 $179,000 $352,033 $531,033 Available",Shepparton,,531033.0,179000.0,352033.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"CC-0112 448 m2 Feb-27 269 5 + 5 + 2 HARMONY SINGLE $1,600 $83,200 7.91% Download $ 518,000 $ 534,186 $ 1 ,052,","Cathcart Avenue, Tarneit Tarneit VIC",,534186.0,83200.0,518000.0,,,,448.0,,,E-Agent,0.74,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ae6934a723604ee581c49b7efc3a3cbb.pdf
,"Lot 82 Aberdeen 282 142.8 12.0 Sep-26 Empley 15 3x2x2 $205,000 $335,220 $540,220 Available",Winter Valley,,540220.0,205000.0,335220.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"Lot 625 Uptown Estate 216 116.9 10.5 Dec-26 Dartmouth 117 3x2x1 $187,000 $354,983 $541,983 Available",Shepparton,,541983.0,187000.0,354983.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"Lot 523 Uptown Estate 220 139.3 10.5 Sep-26 Berkeley 139 3x2x2 $188,000 $355,269 $543,269 Hold",Shepparton,,543269.0,188000.0,355269.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"Lot 320 Atticus 126 139.4 4.5 Titled The Collins D 3x2.5x1 $154,007 $391,075 $545,082 Hold",Woodstock,,545082.0,154007.0,391075.0,,,,,,Titled,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,"CC-0110 448 m2 Oct-26 269 m2 5 + 5 + 2 HARMONY SINGLE $1,500 $78,000 7.33% Download $ 518,000 $ 546,230 $ 1 ,0","Orbifolia Circuit, Clyde North Clyde North VIC",,546230.0,78000.0,518000.0,,,,448.0,269.0,,E-Agent,0.86,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ae6934a723604ee581c49b7efc3a3cbb.pdf
,"Lot 622 Uptown Estate 221 139.3 10.5 Dec-26 Berkeley 139 3x2x2 $189,000 $360,069 $549,069 Hold",Shepparton,,549069.0,189000.0,360069.0,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_ac57b88a5066407d8b35c22c1dd5c698.xlsx?dn=VIC%20Regional%20Jun%20(2).xlsx
,Available 01/04/2026 Mt View Grange - Bellbird 1319 Wildflower Circuit Bellbird 2325 CESSNOCK NSW January 2027,CESSNOCK,NSW,550900.0,,,,,,,,,E-Agent,0.62,28/07/2026,https://www.e-agent.com.au/_files/ugd/069fe0_a4fe844240584d81838d66ba9d2acb66.xlsx?dn=NSW%20Dual%20Jul.xlsx
