Builder,Contact,Email,Phone,States,Website,Portal URL,On E-Agent,Has Website,CSV Section,Notes
101 Residential,,info@101residential,\(08)92089101,PERTH,https://www.101residential.com.au,,0,1,perth,
AB builder Masout,,,,,,,0,0,agents,
Alete Homes,,,,SA,https://www.e-agent.com.au,,0,1,primary,
Anderson Property Transfers(Conveyancer or Solicitor),Nikki Anderson,nikki@aptransfers.com.au,387865772,SOLICITOR,,,0,0,primary,
Aplace,Peppa Shileika,Peppa.Shileika@aplace.com.au,0406921898,VIC,https://www.e-agent.com.au,,1,1,primary,
Ascot Building,,info@ascotbuild.com.au,0407 660 442,EMERALD,https://www.ascotbuildingandrestorations.com.au,,0,1,perth,
Ausbuild,Kylie Devenport,,732450619,VIC,https://www.e-agent.com.au,,1,1,primary,
Avia Homes,Alex Quirke,alex@aviahomes.com.au,0400027420,QLD,https://www.e-agent.com.au,,1,1,primary,
B1 Homes,,,,WA,,,0,0,primary,
Baku Homes,,abakulikira@bakuhomes.com.au,0431 616 350,,,,0,0,primary,
Bathla,Naman Bathla,naman.bathla@bathla.com.au,296362465 / 0431207988,NSW,,https://portal.bathla.com.au,0,0,primary,
Beamonde Homes,,,(08) 9446 3388,PERTH,https://beaumondehomes.com.au,,0,1,perth,
CH Construction & Maintenance,,troy@chconstruction.com.au,0427 947 772,EMERALD,https://www.chconstructionemerald.com,,0,1,perth,
Callan Fing,,,,,,,0,0,agents,
Cavalier Homes,,,,,,,0,0,agents,
Celebration Homes,,,(08) 9020 7031,PERTH,https://www.celebrationhomes.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-headquarters,,0,1,perth,
Choice Homes,Brad Daniels,brad@choicehomes.com.au,0421589040,QLD,https://www.e-agent.com.au,,1,1,primary,
Corbett Homes,,,,,,,0,0,primary,
Creation Homes,Daniel Pepper,dpepper@creationhomes.com.au,0413336377,QLD,https://www.e-agent.com.au,,1,1,primary,
Dale Alcock,,,08 9544 6635,PERTH,https://www.dalealcock.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb_leederville,,0,1,perth,
Danning Kouros 0411090259,,,,,,,0,0,agents,
Day Dream Homes Kingaroy,,,,,,,0,0,agents,
Direct Homes WA,,enquiries@directhomeswa.com.au,(08) 9526 8609,PERTH,https://www.directhomeswa.com.au,,0,1,perth,
Dream Designs,,,0400 128 717,EMERALD,https://dreamdesignhomes.com.au,,0,1,perth,
Dream Scope Homes,Michael Dwyer,mdwyer@dreamscopehomes.com.au,0498066511,NSW,,,0,0,primary,Email comes from Neha@dreamscopehomes.com.au
Emerald Development,,sales@emdevelopments.com.au,(07) 3048 3808 0422 897 882,EMERALD,https://www.emeralddevelopments.com.au,,0,1,perth,
Empire Building Company,,info@empirebc.com.au,(08) 9319 9700,PERTH,https://www.empirebc.com.au,,0,1,perth,
Endeavor Homes,,,08 9263 4450,PERTH,https://endeavourhomes.com.au/?utm_source=google&utm_medium=gbp&utm_campaign=referral,,0,1,perth,
FRD Homes,,,,QLD,,https://partners.frdhomes.com.au/login,1,0,primary,
First Home Builders,,,(08) 6147 9200,PERTH,https://www.firsthomebuilders.com.au,,0,1,perth,
GJ Gardner,,,,,,,0,0,agents,
Gdev,Amir Razmara,ar@gdev.au,0431396396,"QLD, NSW,SA",https://www.e-agent.com.au,,1,1,primary,
Goldstate,David Prendergast,dprendergast@goldstate.com.au,0487888316,VIC,,,0,0,primary,
Habitat (NT) Pty Ltd,Sarah Polhill,,438410862,NT,,,0,0,primary,
Hattan Homes,,,,VIC,https://www.e-agent.com.au,,1,1,primary,
Hermitage Homes,,,,VIC,,https://portal.hermitagehomes.com.au,1,0,primary,
Home Builders IQ,,,404 095 311,PERTH,https://homebuildersiq.com.au,,0,1,perth,
Home Buyers,Blake,blake@homebuyers.com.au,0422856815,VIC,https://www.e-agent.com.au,,0,1,primary,
Home Group,,,,VIC,,,0,0,primary,Sent email to - Anu.saxena@homegroup.com.au
Ideal Homes,,info@idealhomes.com.au,(08) 6200 2022,PERTH,https://www.idealhomes.com.au,,0,1,perth,
Innova Builders,,mikec@innovabuilders.com.au,(08) 9272 7226,PERTH,https://www.innovabuilders.com.au,,0,1,perth,
Innovative Constructions Mehrban,,,,,,,0,0,agents,
Integrity Homes Kingaroy,,,,,,,0,0,agents,
John Provin Builder Kingaroy,,,,,,,0,0,agents,
Leonard Homes,Peter Simpson,peter@leonardhomes.com.au,0407474177,QLD,https://www.e-agent.com.au,,0,1,primary,
Luxton Homes,,,,VIC,https://www.e-agent.com.au,,1,1,primary,
Micson constructions,,,,,,,0,0,agents,
New Developer,,,,NSW,,,0,0,primary,
Novus Homes,,,(08) 9240 8001,PERTH,https://www.novushomes.com.au,,0,1,perth,
Nulook Homes,,info@nulookhomes.com.au,9349 7003,PERTH,https://www.nulookhomes.com.au,,0,1,perth,
Paramount Living,Nicole Hatfield,nicoleh@paramountliving.com.au,390502120,VIC,https://paramountliving.com.au/?auth=1&redirect=https%3A%2F%2Fparamountliving.com.au%2Fagent-portal%2F,https://paramountliving.com.au/wp-admin/profile.php,0,1,primary,
Peter Hindmarsh,,,,,,,0,0,agents,
